,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,순위,선수명,팀명,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,순위,선수명,팀명,AVG,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA,year
10,11,박한이,삼성,0.272,133,586,504,89,137,24,2,10,195,47,14,2,11,박한이,삼성,0.272,60,3,6,79,15,0.387,0.355,0.742,39,0.242,0.0,11.0,박한이,삼성,0.272,36.0,168.0,122.0,1.38,0.0,0.76,3.96,0.115,67.0,0.257,2002
11,12,장영균,삼성,0.250,5,6,4,1,1,1,0,0,2,0,0,0,12,장영균,삼성,0.250,1,0,1,1,0,0.500,0.500,1.000,0,0.0,0.0,12.0,장영균,삼성,0.250,1.0,1.0,1.0,1.00,0.0,1.00,4.17,0.250,1.1,0.35,2002
12,13,박정환,삼성,0.234,119,372,316,49,74,12,2,9,117,36,13,2,13,박정환,삼성,0.234,35,0,6,79,9,0.370,0.320,0.690,14,0.133,0.5,13.0,박정환,삼성,0.234,23.0,100.0,65.0,1.54,0.0,0.44,3.98,0.136,39.2,0.237,2002
13,14,현재윤,삼성,0.227,20,22,22,2,5,0,0,1,8,2,0,0,14,현재윤,삼성,0.227,0,0,0,5,2,0.364,0.227,0.591,1,0.0,0.2,14.0,현재윤,삼성,0.227,1.0,6.0,6.0,1.00,0.0,0.00,2.77,0.136,1.1,0.193,2002
14,15,김재걸,삼성,0.207,83,106,92,17,19,1,0,2,26,10,4,2,15,김재걸,삼성,0.207,8,0,0,26,0,0.283,0.265,0.548,5,0.12,0.0,15.0,김재걸,삼성,0.207,3.0,32.0,17.0,1.88,0.0,0.31,3.78,0.076,9.0,0.19,2002
15,16,하춘동,삼성,0.200,15,10,10,2,2,0,0,0,2,2,0,0,16,하춘동,삼성,0.200,0,0,0,6,0,0.200,0.200,0.400,0,0.333,0.25,16.0,하춘동,삼성,0.200,0.0,2.0,0.0,-,0.0,0.00,4.70,0.000,0.2,0.14,2002
16,17,임재철,삼성,0.194,104,82,72,13,14,4,0,1,21,4,2,0,17,임재철,삼성,0.194,3,0,5,19,1,0.292,0.275,0.567,2,0.214,0.333,17.0,임재철,삼성,0.194,5.0,25.0,14.0,1.79,0.0,0.16,3.79,0.097,6.4,0.197,2002
17,18,김승관,삼성,0.182,12,12,11,1,2,0,0,0,2,0,0,0,18,김승관,삼성,0.182,0,0,1,4,0,0.182,0.250,0.432,0,0.0,0.182,18.0,김승관,삼성,0.182,0.0,2.0,3.0,0.67,0.0,0.00,4.83,0.000,0.5,0.158,2002
18,19,김승권,삼성,0.179,59,92,84,6,15,3,0,1,21,14,0,4,19,김승권,삼성,0.179,3,0,1,22,1,0.250,0.207,0.457,3,0.217,0.136,19.0,김승권,삼성,0.179,4.0,26.0,25.0,1.04,0.0,0.14,3.38,0.071,5.2,0.156,2002
19,20,이준민,삼성,0.143,8,8,7,0,1,0,0,0,1,0,0,0,20,이준민,삼성,0.143,1,0,0,4,0,0.143,0.250,0.393,0,0.0,0.143,20.0,이준민,삼성,0.143,0.0,1.0,1.0,1.00,0.0,0.25,4.00,0.000,0.3,0.148,2002
20,21,강영식,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,21,강영식,삼성,-,0,0,0,0,0,-,-,-,0,0.0,0.0,21.0,강영식,삼성,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,2002
21,21,권혁,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,21,권혁,삼성,-,0,0,0,0,0,-,-,-,0,0.0,0.0,21.0,권혁,삼성,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,2002
22,21,김수관,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,21,김수관,삼성,-,0,0,0,0,0,-,-,-,0,0.0,0.0,21.0,김수관,삼성,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,2002
23,21,김진웅,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,21,김진웅,삼성,-,0,0,0,0,0,-,-,-,0,0.0,0.0,21.0,김진웅,삼성,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,2002
24,21,노병오,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,21,노병오,삼성,-,0,0,0,0,0,-,-,-,0,0.0,0.0,21.0,노병오,삼성,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,2002
25,21,노장진,삼성,-,3,0,0,0,0,0,0,0,0,0,0,0,21,노장진,삼성,-,0,0,0,0,0,-,-,-,0,0.0,0.0,21.0,노장진,삼성,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,2002
26,21,라형진,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,21,라형진,삼성,-,0,0,0,0,0,-,-,-,0,0.0,0.0,21.0,라형진,삼성,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,2002
27,21,박봉수,삼성,0.000,8,7,6,0,0,0,0,0,0,0,0,0,21,박봉수,삼성,0.000,1,0,0,0,0,0.000,0.143,0.143,0,0.0,0.0,21.0,박봉수,삼성,0.000,0.0,3.0,3.0,1.00,0.0,-,4.29,0.000,-0.2,0.064,2002
28,21,손주인,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,21,손주인,삼성,-,0,0,0,0,0,-,-,-,0,0.0,0.0,21.0,손주인,삼성,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,2002
29,21,오상민,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,21,오상민,삼성,-,0,0,0,0,0,-,-,-,0,0.0,0.0,21.0,오상민,삼성,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,2002
0,1,최형우,삼성,0.400,4,6,5,0,2,2,0,0,4,0,1,0,1,최형우,삼성,0.400,0,0,0,0,0,0.800,0.400,1.200,0,0.0,0.0,21.0,이태호,삼성,0.000,0.0,1.0,0.0,-,0.0,0.00,3.71,0.000,-0.5,0.0,2002
1,2,마해영,삼성,0.323,133,596,532,92,172,40,2,33,315,116,0,6,2,마해영,삼성,0.323,46,5,12,74,14,0.592,0.386,0.978,53,0.313,0.0,21.0,임창용,삼성,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,2002
